A.1,A.2,A.3,A.4,B.1,B.2,B.3,B.4,C.1,C.2,C.3,C.4,D.1,D.2,D.3,D.4,E.1,E.2,E.3,E.4,F.1,F.2,F.3,F.4
18.2969,17.9774,18.0826,18.548,17.811,17.9197,17.8488,17.832,18.2508,17.8526,18.3428,18.3429,18.1132,17.7769,17.7736,17.8829,17.7516,18.2223,18.4038,18.1597,17.4963,18.005,17.8221,17.6475
16.9023,16.7427,16.8429,16.8064,16.8175,17.0957,16.8924,17.0672,16.6033,16.6096,16.7706,16.5019,16.9306,16.7369,16.8381,16.7101,16.0874,15.8105,15.8374,14.3872,15.9976,15.8137,16.096,16.323
16.4379,16.3646,16.1955,16.2258,16.5013,16.4997,16.4164,16.568,16.0477,16.234,16.4704,16.2815,16.5396,16.3782,16.4573,16.4886,15.9001,15.1787,15.94,12.1581,15.6383,15.5549,15.8851,16.0231
15.4164,15.327,15.3319,14.8001,14.1682,14.3119,14.1149,14.5272,15.3735,15.6896,15.9911,14.9555,15.0099,14.651,14.0594,14.7311,15.4131,16.1985,15.601,17.0472,14.7401,15.4353,15.4721,15.1776
18.0763,17.7942,18.5002,17.9921,18.0595,18.0439,17.6153,18.4139,17.8536,18.1009,17.8499,17.4929,17.9528,17.9863,18.2017,18.1521,17.4565,17.5572,17.5886,18.0713,17.6033,17.5492,17.3875,17.0306
15.5505,15.6854,13.9584,16.0915,15.0238,15.287,15.5995,15.4347,12.2959,14.4491,14.3087,15.0607,14.7891,15.1558,14.6163,14.7755,13.3936,13.0496,13.3651,13.5721,13.0694,13.9333,13.4243,14.2205
15.1409,15.5865,15.1022,14.3301,13.8406,14.1523,14.8813,14.2189,12.1089,12.3282,11.9555,12.7572,13.8935,12.8402,14.699,14.3476,15.1123,15.0797,15.3211,12.8336,17.1492,15.1087,15.2179,15.3555
12.4215,13.8803,13.298,12.251,14.8655,14.6652,14.9072,14.7564,13.4409,12.8328,12.9611,12.8478,14.2912,14.8111,14.7664,14.7667,14.6663,14.8152,13.3451,14.6916,14.5155,14.3842,14.5205,14.2871
15.8384,15.8392,16.0217,15.5366,15.6766,16.2434,15.4448,16.0123,15.9609,15.9432,16.5335,15.7358,16.1989,15.4608,15.6071,15.6128,15.9744,15.885,15.988,16.3232,15.237,14.8706,15.1495,14.9682
18.033,18.2856,18.1857,17.9563,17.8094,18.3715,17.9494,18.1261,18.4545,18.2013,18.4461,18.8771,18.3855,17.9846,17.8931,18.0752,17.7607,17.6549,17.7151,18.1764,17.2414,17.2899,17.5302,17.3834
15.8641,14.991,15.032,15.4194,15.2219,15.6168,14.8526,15.5361,15.431,14.7181,15.4891,15.4738,14.5713,14.8126,15.0124,14.8096,15.0326,15.038,15.0984,15.1406,15.2942,14.8156,15.6041,15.1284
16.2937,16.9834,17.0401,16.6968,17.3992,17.5498,17.1866,17.3983,17.0649,17.0952,16.9273,16.3439,17.329,17.1847,17.4448,17.1317,16.3624,16.3311,15.5609,13.8826,15.1151,15.4054,16.2413,15.9796
16.2471,16.43,16.1075,16.4305,16.4455,15.3507,16.4377,16.4434,13.2248,13.3589,13.1014,15.1492,15.0309,15.2088,15.1622,14.9379,16.1149,15.0608,15.9499,13.3038,15.4351,15.4136,15.9867,16.5604
16.0086,16.4217,15.8527,14.8906,15.975,15.8557,15.5152,15.9981,14.2614,13.8463,14.0369,14.3857,14.4007,15.06,14.8978,15.0223,15.2643,14.4308,15.5978,13.5278,14.883,11.9936,14.6569,15.8169
18.5756,18.3219,18.1649,18.3819,18.1344,18.1466,17.9122,18.2326,17.4262,17.1328,17.5144,17.4596,17.4446,17.2799,17.2641,17.1538,17.7849,17.5819,17.7939,18.0014,17.8814,17.5816,17.8879,18.0873
17.4556,17.2901,16.6243,16.6659,16.5148,16.1998,16.5837,16.2906,17.2781,17.2607,16.7869,16.7281,16.9563,16.551,16.1388,16.6505,16.0393,16.4394,16.7592,14.2924,14.9576,15.4272,15.4265,16.673
15.7993,16.1424,15.6717,16.0613,15.3728,15.3638,15.386,15.7412,15.8632,16.1948,16.0727,15.9853,15.3671,15.8019,15.3574,15.2098,13.1523,13.7548,12.3452,12.9875,13.584,12.7699,14.0618,14.6798
20.3212,20.2061,20.8092,20.0042,20.5094,20.4465,20.3543,20.969,21.0219,20.7864,20.8008,21.4716,20.5003,19.9288,20.2356,19.7684,19.401,19.9392,18.0864,20.9409,19.3475,20.3532,20.5793,19.9976
16.2039,15.3257,16.046,15.4772,15.8814,16.2407,15.8326,16.3759,16.3419,15.7261,16.1463,15.3686,16.4864,16.3618,16.392,16.0922,16.1027,16.2234,16.0319,13.8944,15.6415,15.5382,15.6291,15.0255
19.2206,19.0446,18.765,19.1394,18.7989,18.8601,18.8366,19.0192,17.5247,17.817,18.337,18.6162,18.0365,18.1043,17.9118,17.8999,18.6645,18.9882,19.2291,18.5911,19.5745,18.9296,19.2599,18.7546
16.2188,15.9027,15.5665,15.8731,15.4524,15.269,15.5434,15.7754,15.307,15.516,13.7935,15.7321,15.5375,15.7327,15.5419,15.813,14.4038,13.8246,13.98,15.8956,12.7756,12.7785,14.7237,14.7269
13.171,13.8893,13.8119,13.5033,13.9485,14.4998,14.7168,13.4432,13.1605,13.6901,14.6746,13.281,13.6513,14.6866,12.376,14.724,12.966,12.2037,12.8712,12.4005,12.5073,14.0347,14.4683,14.3488
